ID;Service_number;Reservation;Tariff;Service_Mode;Service_Name;Service_Provider;not_used;Reservation_system;First_day;Last_day;Operation_days;Second_service_number
154;704;;;37;;3733;;92;2017-09-22;2017-09-22;1;
155;705;;;37;;3733;;92;2026-04-09;2026-06-18;10001000000111100011110001111000111000011110000100000111100011110001111;
156;705;;;37;;3733;;92;2026-04-10;2026-08-06;10000001000000100000000000001000000000000010000001000000100000010000001001111100111110011111001111100111110011111001111;
157;705;;;37;;3733;;92;2026-04-11;2026-07-18;100000010000000000000100000010000001000000100000010000001000000100000010000001000000100000010000001;
158;705;;;37;;3733;;92;2026-04-12;2026-08-02;10000001000000000001010000001000100000000011000001000000100000010000001000000100000010000001000000100000010000001;
159;705;;;37;;3733;;92;2026-04-14;2026-05-28;111000000000000000000000000000000000000000011;
160;705;;;37;;3733;;92;2026-05-15;2026-05-15;1;
161;705;;;37;;3733;;92;2026-07-25;2026-08-01;10000001;
162;705;;;37;;3733;;92;2017-09-22;2017-09-22;1;
163;705;;;37;;3733;;92;2017-09-22;2017-09-22;1;
164;705;;;32;;3733;;92;2026-05-15;2026-05-15;1;
165;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
166;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
167;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
168;705;;;32;;3733;;92;2026-05-14;2026-05-14;1;
169;705;;;32;;3733;;92;2026-05-15;2026-05-15;1;
170;705;;;32;;3733;;92;2026-05-15;2026-05-15;1;
171;705;;;32;;3733;;92;2026-05-15;2026-05-15;1;
172;705;;;32;;3733;;92;2026-05-15;2026-05-15;1;
173;705;;;32;;3733;;92;2026-04-09;2026-06-18;10001111000111100011110001111000111100011110001111000111100011110001111;
174;705;;;32;;3733;;92;2026-04-09;2026-06-18;10001111000111100011110001111000111100011110001111000111100011110001111;
175;705;;;32;;3733;;92;2026-04-14;2026-04-16;111;
176;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
